abnormality,abnormality_pred,0.500
1,0.9728826284408569,1
1,0.7035839110612869,1
1,0.947260394692421,1
0,0.12429476089891978,0
0,0.25757423136383295,0
1,0.9446890354156494,1
1,0.9196839034557343,1
0,0.4618612378835678,0
0,0.6149080544710159,1
0,0.30412652902305126,0
1,0.9757808446884155,1
0,0.05685707274824381,0
0,0.3455208074301481,0
0,0.4805302768945694,0
0,0.2739908918738365,0
0,0.4931577146053314,0
1,0.9819266349077225,1
1,0.9757190495729446,1
0,0.46705910563468933,0
0,0.4615147039294243,0
1,0.9145385175943375,1
0,0.06910026911646128,0
1,0.9152214080095291,1
1,0.9680306017398834,1
0,0.8201093524694443,1
1,0.9419847875833511,1
1,0.9331283122301102,1
1,0.9448344260454178,1
1,0.935870036482811,1
1,0.962141677737236,1
1,0.9822635054588318,1
1,0.9630056023597717,1
0,0.5411568954586983,1
0,0.3205704875290394,0
1,0.9820772260427475,1
1,0.7833739072084427,1
0,0.8018849641084671,1
0,0.8937738090753555,1
0,0.1579121109098196,0
0,0.2918751500546932,0
